,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice
0,60,RL,68.0,13517,Pave,none,2,Lvl,0,CulDSac,2,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3.0,3.0,1.0,6.0,533.0,1.0,0.0,192.0,725.0,GasA,5,Y,0.0,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,7,0,0.0,Attchd,1976.0,2.0,2.0,475.0,3.0,3.0,2,0,44,0,0,0,0,0.0,0.0,none,0,mar,2010,WD ,130500
1,60,RL,43.0,11492,Pave,none,2,Lvl,0,CulDSac,2,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4.0,3.0,1.0,6.0,637.0,1.0,0.0,276.0,913.0,GasA,5,Y,0.0,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,7,1,3.0,Attchd,1997.0,2.0,2.0,559.0,3.0,3.0,2,0,74,0,0,0,0,0.0,0.0,none,0,apr,2009,WD ,220000
2,20,RL,68.0,7922,Pave,none,3,Lvl,0,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,6.0,731.0,1.0,0.0,326.0,1057.0,GasA,3,Y,0.0,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,7,0,0.0,Detchd,1953.0,1.0,1.0,246.0,3.0,3.0,2,0,52,0,0,0,0,0.0,0.0,none,0,jan,2010,WD ,109000
3,60,RL,73.0,9802,Pave,none,3,Lvl,0,Inside,2,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,384.0,384.0,GasA,4,Y,0.0,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,7,0,0.0,BuiltIn,2007.0,3.0,2.0,400.0,3.0,3.0,2,100,0,0,0,0,0,0.0,0.0,none,0,apr,2010,WD ,174000
4,50,RL,82.0,14235,Pave,none,2,Lvl,0,Inside,2,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2.0,4.0,1.0,1.0,0.0,1.0,0.0,676.0,676.0,GasA,3,Y,0.0,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,7,0,0.0,Detchd,1957.0,1.0,2.0,484.0,3.0,3.0,0,0,59,0,0,0,0,0.0,0.0,none,0,mar,2010,WD ,138500
5,20,RL,137.0,16492,Pave,none,2,Lvl,0,Corner,2,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3.0,3.0,1.0,5.0,247.0,3.0,713.0,557.0,1517.0,GasA,5,Y,0.0,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,4,1,4.0,Attchd,1966.0,3.0,2.0,578.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,none,0,jun,2010,WD ,190000
6,180,RM,35.0,3675,Pave,none,3,Lvl,0,Inside,2,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4.0,3.0,4.0,6.0,547.0,1.0,0.0,0.0,547.0,GasA,4,Y,0.0,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,7,0,0.0,Basment,2005.0,3.0,2.0,525.0,3.0,3.0,2,0,44,0,0,0,0,0.0,0.0,none,0,jun,2006,New,140000
7,20,RL,68.0,12160,Pave,none,2,Lvl,0,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3.0,3.0,1.0,3.0,1000.0,1.0,0.0,188.0,1188.0,GasA,2,Y,0.0,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,7,0,0.0,Attchd,1959.0,2.0,2.0,531.0,3.0,3.0,2,0,0,0,0,0,0,0.0,3.0,none,0,may,2010,COD,142000
8,20,RL,68.0,15783,Pave,none,3,Lvl,0,Inside,2,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,292.0,1.0,0.0,632.0,924.0,GasA,3,Y,0.0,924,0,0,924,0.0,0.0,1,0,2,1,3,6,7,0,0.0,Detchd,1952.0,1.0,1.0,420.0,3.0,3.0,2,0,324,0,0,0,0,0.0,3.0,Shed,400,jun,2007,WD ,112500
9,60,RL,70.0,11606,Pave,none,2,HLS,0,Inside,0,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4.0,3.0,3.0,3.0,650.0,1.0,0.0,390.0,1040.0,GasA,3,Y,0.0,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,7,2,3.0,Attchd,1969.0,1.0,2.0,504.0,3.0,3.0,2,335,0,0,0,0,0,0.0,0.0,none,0,sep,2007,WD ,135000
10,160,RM,21.0,1680,Pave,none,3,Lvl,0,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3.0,3.0,1.0,5.0,387.0,1.0,0.0,96.0,483.0,GasA,3,Y,0.0,483,504,0,987,0.0,0.0,1,1,2,1,3,4,7,0,0.0,Detchd,1971.0,1.0,1.0,264.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,none,0,jul,2008,COD,85400
11,20,RL,64.0,7488,Pave,none,2,Lvl,0,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,393.0,1.0,0.0,815.0,1208.0,GasA,5,Y,0.0,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,7,0,0.0,Attchd,2005.0,2.0,2.0,632.0,3.0,3.0,2,105,58,0,0,0,0,0.0,0.0,none,0,feb,2006,WD ,183600
12,70,RL,120.0,26400,Pave,none,3,Bnk,0,FR2,2,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,5,Y,0.0,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,4,1,3.0,Attchd,1900.0,1.0,2.0,576.0,3.0,3.0,1,0,0,0,0,0,0,0.0,0.0,none,0,jun,2009,WD ,131000
13,160,FV,24.0,2645,Pave,Pave,3,Lvl,0,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4.0,3.0,1.0,6.0,813.0,1.0,0.0,147.0,960.0,GasA,5,Y,0.0,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,7,0,0.0,Detchd,2000.0,1.0,2.0,480.0,3.0,3.0,2,169,0,0,0,0,0,0.0,0.0,none,0,dec,2008,ConLD,200000
14,20,RL,74.0,9627,Pave,none,3,Lvl,0,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,24.0,1.0,0.0,1327.0,1351.0,GasA,5,Y,0.0,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,7,0,0.0,Attchd,2007.0,2.0,2.0,610.0,3.0,3.0,2,0,50,0,0,0,0,0.0,0.0,none,0,jun,2008,WD ,193000
15,20,RL,93.0,10114,Pave,none,3,Lvl,0,Inside,2,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1430.0,1430.0,GasA,5,Y,0.0,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,7,0,0.0,Attchd,2004.0,2.0,2.0,624.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,none,0,mar,2010,WD ,173500
16,70,RM,34.0,4571,Pave,Grvl,3,Lvl,0,Inside,2,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,624.0,624.0,GasA,2,N,0.0,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,7,0,0.0,Detchd,1916.0,1.0,3.0,513.0,2.0,2.0,2,0,0,96,0,0,0,0.0,0.0,none,0,may,2008,COD,98000
