neighborhood,garage_type,lot_area,house_age,overall_qual,gr_liv_area,kitchen_qual,garage_area,total_bsmt_sf,bsmt_qual,saleprice
Sawyer,Attchd,13517,34,6,1479,4,475.0,725.0,3.0,130500
SawyerW,Attchd,11492,13,7,2122,4,559.0,913.0,4.0,220000
NAmes,Detchd,7922,57,5,1057,4,246.0,1057.0,3.0,109000
Timber,BuiltIn,9802,4,5,1444,3,400.0,384.0,4.0,174000
SawyerW,Detchd,14235,110,6,1445,3,484.0,676.0,2.0,138500
NAmes,Attchd,16492,44,6,1888,4,578.0,1517.0,3.0,190000
Edwards,Basment,3675,1,6,1072,3,525.0,547.0,4.0,140000
NAmes,Attchd,12160,51,5,1188,3,531.0,1188.0,3.0,142000
OldTown,Detchd,15783,55,5,924,3,420.0,924.0,3.0,112500
NAmes,Attchd,11606,38,5,2080,2,504.0,1040.0,4.0,135000
BrDale,Detchd,1680,37,6,987,3,264.0,483.0,3.0,85400
CollgCr,Attchd,7488,1,7,1208,4,632.0,1208.0,4.0,183600
SawyerW,Attchd,26400,129,5,2016,3,576.0,0.0,0.0,131000
Somerst,Detchd,2645,9,8,1607,4,480.0,960.0,4.0,200000
CollgCr,Attchd,9627,1,7,1361,4,610.0,1351.0,4.0,193000
Mitchel,Attchd,10114,6,5,1430,4,624.0,1430.0,5.0,173500
OldTown,Detchd,4571,92,5,1344,3,513.0,624.0,3.0,98000
Sawyer,Detchd,8816,46,5,1121,3,480.0,1121.0,3.0,139000
Sawyer,Attchd,8197,30,6,1285,3,528.0,660.0,3.0,143500
Somerst,Attchd,8640,1,7,1547,4,614.0,756.0,4.0,215200
Sawyer,Attchd,8724,39,5,894,3,450.0,894.0,4.0,129000
StoneBr,Attchd,5664,9,8,1659,5,499.0,1501.0,4.0,278000
NridgHt,Attchd,12867,1,8,2253,5,575.0,1209.0,5.0,344133
Gilbert,Attchd,7980,18,6,1187,3,420.0,1168.0,4.0,185000
Gilbert,Attchd,34650,51,5,1056,3,572.0,1056.0,3.0,145000
NAmes,Attchd,10573,48,6,1453,3,530.0,1453.0,3.0,187500
Sawyer,Detchd,8450,45,5,894,3,336.0,894.0,3.0,138500
Crawfor,Detchd,11700,71,5,1938,4,240.0,942.0,3.0,198000
IDOTRR,none,8250,112,5,1991,3,0.0,957.0,3.0,119600
NAmes,Detchd,8064,58,5,924,3,576.0,672.0,3.0,122900
NWAmes,Attchd,9600,28,8,2524,4,542.0,2524.0,4.0,278000
Crawfor,Detchd,11435,77,8,1517,4,400.0,792.0,4.0,230000
Veenker,Attchd,9549,11,8,1494,5,481.0,1494.0,4.0,270000
NAmes,Detchd,10950,55,6,948,3,410.0,948.0,3.0,125000
CollgCr,Attchd,10637,2,8,1718,4,826.0,1705.0,5.0,297000
NAmes,Basment,9000,51,6,1142,3,384.0,160.0,4.0,113500
MeadowV,Attchd,2665,29,5,1475,3,336.0,757.0,3.0,127000
NWAmes,Attchd,11751,33,6,1844,3,546.0,1844.0,4.0,190000
NWAmes,Attchd,9600,34,7,1242,3,528.0,1242.0,3.0,175500
CollgCr,Detchd,8428,13,5,990,3,384.0,990.0,4.0,146000
Edwards,Attchd,9937,43,5,1256,3,276.0,1256.0,3.0,147500
NridgHt,Attchd,13891,0,10,2076,5,850.0,2076.0,5.0,465000
Mitchel,Attchd,9101,31,5,1110,4,602.0,1097.0,4.0,165500
OldTown,Attchd,12150,54,5,1795,3,352.0,1050.0,3.0,131500
Sawyer,Detchd,11200,43,5,1040,3,384.0,1040.0,3.0,129500
Crawfor,Detchd,9670,73,8,1873,3,786.0,608.0,3.0,257076
Edwards,Detchd,10998,68,5,1604,3,660.0,984.0,3.0,117000
Crawfor,Attchd,7200,77,7,1502,3,270.0,776.0,4.0,149000
NAmes,Attchd,9920,56,5,1063,3,280.0,1056.0,3.0,128000
NridgHt,BuiltIn,2448,5,7,1626,4,474.0,764.0,4.0,155000
Somerst,Detchd,2998,6,6,1524,4,440.0,756.0,4.0,166000
SWISU,Detchd,7804,81,4,1981,4,576.0,1122.0,3.0,135000
NWAmes,Attchd,16692,28,7,2784,4,564.0,1392.0,4.0,250000
MeadowV,none,1476,40,4,1092,3,0.0,546.0,3.0,76000
NAmes,Attchd,10170,55,6,1575,4,400.0,216.0,3.0,155000
Sawyer,Attchd,9364,41,6,1352,3,299.0,663.0,3.0,158000
Somerst,Detchd,2544,6,7,1200,4,480.0,600.0,4.0,149500
NAmes,Attchd,9888,52,5,936,3,240.0,936.0,3.0,121000
NAmes,Attchd,7942,54,6,1040,3,293.0,1040.0,3.0,136000
Gilbert,Attchd,15038,12,6,1636,3,386.0,916.0,4.0,173000
NoRidge,Attchd,11764,11,8,2270,4,671.0,1152.0,4.0,290000
Somerst,BuiltIn,9000,0,8,2610,5,550.0,1184.0,4.0,303477
ClearCr,Attchd,20062,33,7,1483,3,690.0,1420.0,4.0,270000
OldTown,Detchd,7308,88,5,1740,5,225.0,936.0,3.0,122250
NAmes,Attchd,8750,54,5,1382,4,350.0,1382.0,3.0,153000
Mitchel,none,8402,0,5,1120,3,0.0,1120.0,4.0,147000
Crawfor,Detchd,4000,77,7,1098,3,216.0,531.0,4.0,148500
Edwards,Detchd,3363,2,7,1708,4,380.0,976.0,4.0,130000
NridgHt,Attchd,13615,1,9,1802,5,843.0,1802.0,5.0,372000
Blmngtn,Attchd,3013,1,7,1506,4,440.0,1362.0,4.0,213490
Edwards,Attchd,17485,1,7,1508,4,572.0,1508.0,4.0,308030
Mitchel,Attchd,23730,12,7,2032,4,786.0,1840.0,5.0,300000
NAmes,BuiltIn,8910,47,6,1194,3,539.0,655.0,3.0,159500
Edwards,Detchd,2522,2,7,1709,4,380.0,970.0,4.0,137500
Somerst,Attchd,8688,1,7,1616,4,834.0,1616.0,4.0,232000
IDOTRR,Detchd,6291,78,6,768,3,440.0,768.0,3.0,93850
Sawyer,Detchd,17529,82,5,872,2,322.0,872.0,3.0,105000
BrkSide,Detchd,6324,81,4,520,2,240.0,520.0,3.0,68500
NAmes,Detchd,11600,50,5,2274,3,480.0,1105.0,3.0,154300
IDOTRR,none,7288,82,5,1601,3,0.0,936.0,3.0,129850
OldTown,Detchd,4571,97,5,1232,3,480.0,616.0,3.0,114000
StoneBr,Attchd,17423,1,9,2234,5,1166.0,2216.0,5.0,501837
OldTown,Detchd,12665,93,5,1416,3,720.0,876.0,3.0,153900
NAmes,Detchd,9000,38,4,864,3,576.0,864.0,3.0,130000
Mitchel,Attchd,4500,11,6,1189,3,392.0,1189.0,5.0,160500
NridgHt,Attchd,6373,0,9,1666,4,575.0,1666.0,5.0,310090
SawyerW,Attchd,10083,6,7,1200,4,555.0,1176.0,4.0,184900
NAmes,Attchd,13300,51,5,928,3,252.0,928.0,4.0,132000
NWAmes,Attchd,9600,40,5,1336,3,502.0,1288.0,4.0,163000
Somerst,Detchd,3215,6,7,1200,4,480.0,600.0,4.0,155000
NWAmes,Attchd,11104,39,6,1427,3,516.0,1427.0,3.0,183000
CollgCr,Attchd,15295,11,7,1992,4,608.0,860.0,4.0,211000
SawyerW,Attchd,9109,15,7,1540,4,495.0,754.0,4.0,184000
SawyerW,Attchd,7018,30,5,1535,3,400.0,0.0,0.0,118858
NAmes,Attchd,14112,46,5,1152,3,484.0,1152.0,3.0,180500
Somerst,Attchd,3523,1,8,1151,4,484.0,1141.0,4.0,166000
Sawyer,Attchd,15312,49,6,1138,3,480.0,1138.0,3.0,148000
NAmes,Detchd,7450,51,5,1074,4,396.0,894.0,3.0,124000
NridgHt,Attchd,7313,2,9,1561,5,556.0,1561.0,5.0,277500
NoRidge,Attchd,10019,11,8,2726,4,725.0,1342.0,4.0,350000
StoneBr,Attchd,15401,4,9,1884,5,670.0,1884.0,5.0,387000
Edwards,none,9098,87,4,605,3,0.0,528.0,3.0,86000
Veenker,Attchd,16280,32,8,1671,5,550.0,1426.0,4.0,290000
IDOTRR,none,9392,109,3,797,3,0.0,245.0,2.0,44000
Mitchel,BuiltIn,12209,8,6,1961,4,560.0,804.0,5.0,215000
NWAmes,Attchd,13110,34,5,1193,3,501.0,1153.0,4.0,146500
Somerst,Detchd,2651,6,7,1382,4,490.0,673.0,4.0,165000
OldTown,Detchd,8520,91,6,2526,4,216.0,714.0,3.0,136000
NAmes,Attchd,39384,49,6,1390,5,550.0,1705.0,4.0,252000
NridgHt,BuiltIn,2628,7,7,1626,4,474.0,764.0,4.0,175500
OldTown,Detchd,6406,70,5,1558,3,400.0,690.0,3.0,150000
NAmes,Attchd,12342,47,5,1422,3,286.0,978.0,3.0,139900
BrkSide,Detchd,6240,78,5,1573,3,360.0,1078.0,3.0,162900
NAmes,Attchd,10000,48,6,1116,3,440.0,1116.0,3.0,160000
Sawyer,none,9000,62,2,660,2,0.0,0.0,0.0,63900
NWAmes,Attchd,11088,31,6,1707,3,479.0,1140.0,3.0,184000
Edwards,Attchd,17755,47,5,1466,2,528.0,1466.0,3.0,149900
Somerst,Attchd,4765,8,9,1638,5,495.0,1614.0,4.0,300000
ClearCr,Basment,10532,48,5,1721,3,626.0,988.0,3.0,145000
CollgCr,Attchd,15426,12,6,1764,4,470.0,928.0,4.0,231500
Edwards,none,13907,68,5,996,3,0.0,996.0,3.0,108000
NAmes,Attchd,8750,53,5,1202,3,304.0,1202.0,3.0,120000
Sawyer,Detchd,9945,46,5,988,3,572.0,988.0,3.0,128500
OldTown,Detchd,8960,83,5,1028,3,360.0,1008.0,3.0,115000
OldTown,Detchd,3500,62,5,1284,3,240.0,720.0,3.0,110000
Veenker,Attchd,24572,31,9,2944,4,864.0,994.0,4.0,150000
Gilbert,Attchd,9056,2,8,1414,4,403.0,707.0,5.0,178000
Crawfor,2Types,12320,74,7,1609,4,579.0,637.0,3.0,199500
Gilbert,Attchd,8238,9,6,1525,3,400.0,813.0,3.0,183500
